element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
K,19,,,1.20108396,0.00000008,,1.1753e+11,AA,(3704.68219),(4736.95139),2p,2P*,3/2,5s,2S,1/2,,T7771,
K,19,,,1.33615605,0.00000007,,2.2716e+12,AA,(3698.69614),(4626.613197),2p,2P*,1/2,4d,2D,3/2,,T7771,
K,19,,,1.33642872,0.00000009,,1.2597e+12,AA,(3698.88679),(4626.61452),2s,2S,1/2,4p,2P*,3/2,,T7771,
K,19,,,1.33719745,0.00000016,,1.1345e+11,AA,(3698.69614),(4625.89054),2p,2P*,1/2,4s,2S,1/2,,T7771,
K,19,,,1.33750734,0.00000013,,1.2738e+12,AA,(3698.88679),(4625.86636),2s,2S,1/2,4p,2P*,1/2,,T7771,
K,19,,,1.34447089,0.00000007,,2.6905e+12,AA,(3704.68219),(4626.860570),2p,2P*,3/2,4d,2D,5/2,,T7771,
K,19,,,1.34483164,0.00000007,,4.4673e+11,AA,(3704.68219),(4626.613197),2p,2P*,3/2,4d,2D,3/2,,T7771,
K,19,,,1.34588662,0.00000016,,2.3542e+11,AA,(3704.68219),(4625.89054),2p,2P*,3/2,4s,2S,1/2,,T7771,
K,17,1.4715,0.0003,1.4715,0.0004,,7.01e+11,,[33.9082],876.48,1s2.2p,2P*,1/2,1s2.5d,2D,3/2,,T5593,L3840
K,17,1.4776,0.0003,1.4776,0.0004,*,8.35e+11,,[37.9426],877.04,1s2.2p,2P*,3/2,1s2.5d,2D,5/2,,T5593,L3840
K,17,1.4776,0.0003,1.4786,0.0004,*,1.4e+11,,[37.9426],876.48,1s2.2p,2P*,3/2,1s2.5d,2D,3/2,,T5593,L3840
K,17,1.5755,0.0003,1.5755,0.0003,13p*,8.24e+11,,0.0000,786.95,1s2.2s,2S,1/2,1s2.4p,2P*,3/2,,T5593,L3840
K,17,1.5755,0.0003,1.5755,0.0003,13p*,8.33e+11,,0.0000,786.95,1s2.2s,2S,1/2,1s2.4p,2P*,1/2,,T5593,L3840
K,17,1.6427,0.0003,1.6427,0.0003,,1.52e+12,,[33.9082],788.66,1s2.2p,2P*,1/2,1s2.4d,2D,3/2,,T5593,L3840
K,17,1.6497,0.0003,1.6497,0.0003,,1.81e+12,,[37.9426],789.49,1s2.2p,2P*,3/2,1s2.4d,2D,5/2,,T5593,L3840
K,19,,,1.80014751,0.00000013,,7.0853e+12,AA,(3698.69614),(4387.440803),2p,2P*,1/2,3d,2D,3/2,,T7771,
K,19,,,1.8006377,0.0000003,,2.9119e+12,AA,(3698.88679),(4387.44393),2s,2S,1/2,3p,2P*,3/2,,T7771,
K,19,,,1.8046385,0.0000007,,2.7798e+11,AA,(3698.69614),(4385.72681),2p,2P*,1/2,3s,2S,1/2,,T7771,
K,19,,,1.8052892,0.0000004,,2.9644e+12,AA,(3698.88679),(4385.66980),2s,2S,1/2,3p,2P*,1/2,,T7771,
K,19,,,1.81437261,0.00000013,,8.4269e+12,AA,(3704.68219),(4388.026935),2p,2P*,3/2,3d,2D,5/2,,T7771,
K,19,,,1.81593021,0.00000013,,1.4039e+12,AA,(3704.68219),(4387.440803),2p,2P*,3/2,3d,2D,3/2,,T7771,
K,19,,,1.8205004,0.0000007,,5.7831e+11,AA,(3704.68219),(4385.72681),2p,2P*,3/2,3s,2S,1/2,,T7771,
