element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref
Nd,2,375.249,375.24956+,580,2.43e+07,B+,0.5594781,3.8625857,4f4.(5I).6s,4I,13/2,4f4.(5I).6p,4I*,13/2,,T7685,L3475
Nd,2,375.2679,375.26759+,370,8.9e+06,B+,0.0000000,3.3029490,4f4.(5I).6s,6I,7/2,4f4.(5I).6p,6H*,7/2,,T7685,"L3260,L3475"
Nd,2,375.483,375.48233+,250,,,1.2511692,4.5522292,4f3.(4I*).5d (5K*).6s,6K*,9/2,4f3.5d.6p,,9/2,,,L3475
Nd,2,375.560,375.55963+,370,4.9e+06,B+,0.1822698,3.4826504,4f4.(5I).6s,6I,11/2,,*,13/2,,T7685,L3475
Nd,2,375.782,375.78148+,510,9.1e+06,B+,0.4713792,3.7698115,4f4.(5I).6s,6I,15/2,,*,15/2,,T7685,L3475
Nd,2,375.895,375.89325+,930,3.94e+07,B+,0.7421173,4.0395688,4f4.(5I).6s,4I,15/2,,*,13/2,,T7685,L3475
Nd,2,375.979,375.97927+,300,9.3e+06,B+,0.6305390,3.9272361,4f4.(5I).6s,6I,17/2,4f4.(5I).6p,4K*,17/2,,T7685,L3475
Nd,2,376.347,376.34721+,930,2.18e+07,B+,0.2045993,3.4980734,4f4.(5I).6s,4I,9/2,4f4.(5I).6p,4H*,7/2,,T7685,L3475
Nd,2,376.659,376.65853+,300,,,1.3614135,4.6521655,4f3.(4I*).5d2.(3F),6M*,17/2,4f3.(4I*).5d (5L*).6p,6M,17/2,,,L3475
Nd,2,376.9644,376.96340+,510,8.5e+06,B+,0.2045993,3.4926900,4f4.(5I).6s,4I,9/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,377.550,377.54973+,1400,3.89e+07,B+,0.7421173,4.0251017,4f4.(5I).6s,4I,15/2,4f4.(5I).6p,4I*,15/2,,T7685,L3475
Nd,2,377.634,377.63316+,250,,,1.3383214,4.6205805,4f3.(4I*).5d (5K*).6s,6L*,13/2,4f3.5d.6p,6L,15/2,,,L3475
Nd,2,377.947,377.94619+,710,1.28e+07,B+,0.1822698,3.4618105,4f4.(5I).6s,6I,11/2,4f4.(5I).6p,4I*,9/2,,T7685,L3475
Nd,2,378.0391,378.03823+,580,1.16e+07,B+,0.4713792,3.7501215,4f4.(5I).6s,6I,15/2,4f4.(5I).6p,6I*,17/2,,T7685,"L3260,L3475"
Nd,2,378.132,378.13084+,510,,,0.7421173,4.0200566,4f4.(5I).6s,4I,15/2,,*,15/2,,,L3475
Nd,2,378.378,378.37619+,300,,,1.8815978,5.1574116,4f3.(4I*).5d (5K*).6s,6K*,17/2,4f3.5d.6p,,19/2,,,L3475
Nd,2,378.425,378.42446+,2400,5.5e+07,B+,0.3802292,3.6556251,4f4.(5I).6s,4I,11/2,4f4.(5I).6p,4I*,11/2,,T7685,L3475
Nd,2,378.473,378.47138+,270,,,1.5623007,4.8372906,4f3.(4I*).5d2.(3F),6M*,19/2,,,17/2,,,L3475
Nd,2,379.150,379.14710+,340*,,,0.3802292,3.6493825,4f4.(5I).6s,4I,11/2,4f4.(5I).6p,6H*,13/2,,,L3475
Nd,2,379.150,379.14990+,340*,,,1.5288919,4.7980211,4f3.5d.6s,*,11/2,4f3.5d.6p,,9/2,,,L3475
Nd,2,379.545,379.54540+,340,1.04e+07,B+,0.2045993,3.4703221,4f4.(5I).6s,4I,9/2,,*,9/2,,T7685,L3475
Nd,2,379.955,379.95184+,240,,,0.1822698,3.4444992,4f4.(5I).6s,6I,11/2,,*,11/2,,,L3475
Nd,2,380.112,380.11136+,370,8.8e+06,B+,0.5594781,3.8203385,4f4.(5I).6s,4I,13/2,,*,13/2,,T7685,L3475
Nd,2,380.138,380.14494+,200*,,,1.1404556,4.4010280,4f4.(5I).5d,6G,7/2,,*,5/2,,,L3475
Nd,2,380.138,380.12995+,200*,2.01e+06,B+,0.1822698,3.4429708,4f4.(5I).6s,6I,11/2,,*,11/2,,T7685,L3475
Nd,2,380.230,380.22862+,340*,,,0.0000000,3.2598548,4f4.(5I).6s,6I,7/2,,*,7/2,,,L3475
Nd,2,380.230,380.22258+,340*,2.72e+06,B+,0.4713792,3.7312859,4f4.(5I).6s,6I,15/2,4f4.(5I).6p,4K*,15/2,,T7685,L3475
Nd,2,380.347,380.34713+,1200,1.88e+07,B+,0.2045993,3.4634385,4f4.(5I).6s,4I,9/2,,*,9/2,,T7685,L3475
Nd,2,380.410,380.40950+,200,1.83e+06,C+,0.0636448,3.3219497,4f4.(5I).6s,6I,9/2,,*,7/2,,T7685,L3475
Nd,2,380.5359,380.53723+,2500*,4.05e+07,B+,0.2045993,3.4618105,4f4.(5I).6s,4I,9/2,4f4.(5I).6p,4I*,9/2,,T7685,"L3260,L3475"
Nd,2,380.5359,380.53353+,2500*,1.55e+07,B+,0.3205562,3.5777990,4f4.(5I).6s,6I,13/2,4f4.(5I).6p,6I*,15/2,,T7685,"L3260,L3475"
Nd,2,380.555,380.55468+,340,1.01e+07,B+,0.3802292,3.6372910,4f4.(5I).6s,4I,11/2,,*,11/2,,T7685,L3475
Nd,2,380.7227,380.72433+,470*,,,1.4106383,4.6662488,4f4.(5F).6s,6F,7/2,,*,5/2,,,"L3260,L3475"
Nd,2,380.7227,380.72244+,470*,,,1.2465613,4.5021880,4f3.(4I*).5d (5K*).6s,6L*,11/2,4f3.5d.6p,6L,13/2,,,"L3260,L3475"
Nd,2,380.7227,380.71737+,470*,1.19e+06,B,0.0636448,3.3193149,4f4.(5I).6s,6I,9/2,4f4.(5I).6p,6I*,11/2,,T7685,"L3260,L3475"
Nd,2,380.877,380.87670+,540,8.6e+06,B+,0.0636448,3.3179529,4f4.(5I).6s,6I,9/2,,*,11/2,,T7685,L3475
Nd,2,380.906,380.90384+,440,7.8e+06,B+,0.0636448,3.3177211,4f4.(5I).6s,6I,9/2,,*,9/2,,T7685,L3475
Nd,2,381.049,381.04765+,580,2.10e+07,B+,0.7421173,3.9949655,4f4.(5I).6s,4I,15/2,,*,15/2,,T7685,L3475
Nd,2,381.106,381.10750+,240,6.6e+06,B+,0.3802292,3.6325665,4f4.(5I).6s,4I,11/2,,*,9/2,,T7685,L3475
Nd,2,381.1774,381.17696+,270,2.53e+06,B+,0.0000000,3.2517447,4f4.(5I).6s,6I,7/2,,*,9/2,,T7685,"L3260,L3475"
Nd,2,381.253,381.25299+,200,,,1.7248211,4.9759173,4f3.(4I*).5d (5K*).6s,6L*,17/2,4f3.5d.6p,,17/2,,,L3475
Nd,2,381.473,381.47201+,710,1.44e+07,B+,0.0000000,3.2492297,4f4.(5I).6s,6I,7/2,,*,7/2,,T7685,L3475
Nd,2,381.970,381.97019+,240,6.0e+06,B+,0.3802292,3.6252212,4f4.(5I).6s,4I,11/2,,*,11/2,,T7685,L3475
Nd,2,382.247,382.24982+,410*,,,0.4713792,3.7139975,4f4.(5I).6s,6I,15/2,,*,15/2,,,L3475
Nd,2,382.247,382.24497+,410*,,,0.3802292,3.6228886,4f4.(5I).6s,4I,11/2,,*,9/2,,,L3475
Nd,2,382.6416,382.64091+,1200,2.21e+07,B+,0.0636448,3.3029490,4f4.(5I).6s,6I,9/2,4f4.(5I).6p,6H*,7/2,,T7685,"L3260,L3475"
Nd,2,382.800,382.79805+,240,8.6e+06,B+,0.0000000,3.2379744,4f4.(5I).6s,6I,7/2,,*,5/2,,T7685,L3475
